feature,gain,split
addr_heavy_exact,64951.090,59
addr_num_overlap,9930.463,7
house_number_match,62.822,1
idf_token_overlap,0.236,1
name_jaro_winkler,0.000,0
name_heavy_exact,0.000,0
name_core_exact,0.000,0
name_exact,0.000,0
name_partial_token_set_ratio,0.000,0
name_core_token_set_ratio,0.000,0
name_prefix_sim,0.000,0
name_suffix_sim,0.000,0
name_len_diff,0.000,0
name_partial_ratio,0.000,0
name_token_sort_ratio,0.000,0
name_ratio,0.000,0
name_common_tokens,0.000,0
name_tok_count_diff,0.000,0
name_len_ratio,0.000,0
name_token_coverage,0.000,0
addr_exact,0.000,0
addr_ratio,0.000,0
name_ngram_jaccard,0.000,0
name_core_token_coverage,0.000,0
addr_token_set_ratio,0.000,0
addr_token_sort_ratio,0.000,0
addr_len_diff,0.000,0
addr_token_coverage,0.000,0
addr_len_ratio,0.000,0
postal_match,0.000,0
addr_digit_overlap,0.000,0
name_token_set_ratio,0.000,0
addr_first_token_match,0.000,0
addr_last_token_match,0.000,0
addr_missing_s1,0.000,0
addr_completeness_agree,0.000,0
name_x_addr,0.000,0
name_addr_min,0.000,0
name_addr_max,0.000,0
addr_missing_cand,0.000,0
